FILE ID: 255118.p
TRUE = 1 | PRED = 0 | partner at goldman will make about $ 7 million to $ 8 million each this year , accord to people at the firm .
TRUE = 0 | PRED = 0 | UNK be a sad statement about UNK relation with the chinese people .
TRUE = 1 | PRED = 1 | `` UNK go because a million people be in misery , '' hall say .
TRUE = 0 | PRED = 0 | editor 's note : rosemary UNK , a faculty member at highline community college in des moines , UNK , for nine year , be teach english this academic year at shanghai jiao tong university in china .


FILE ID: 465593.p
TRUE = 0 | PRED = 0 | a senior u.s. official say that the u.s. counter - terrorism center , base at the cia , `` feel strongly that there be as much and as rich evidence from a wide variety of source on this case as UNK have ever have . ''
TRUE = 1 | PRED = 1 | however , in an effort to establish UNK as tough trainer , some indoor cycling instructor be push UNK student unnecessarily .
TRUE = 1 | PRED = 1 | the big problem be when instructor mimic the side - to - side action that naturally occur when bicyclist pedal while not seat , such as when rid uphill or in a sprint .
TRUE = 0 | PRED = 1 | `` there be a confluence of event , '' say a senior u.s. official .
TRUE = 1 | PRED = 1 | UNK be low impact , high cardiovascular and fun .
TRUE = 1 | PRED = 1 | the bicycle sway underneath UNK and UNK body stay ( vertical ) . ''
TRUE = 0 | PRED = 1 | if UNK do n't take action , UNK be go to get hit , there be no doubt in UNK mind . '
TRUE = 0 | PRED = 0 | president clinton order strike on terrorist - link facility in sudan and afghanistan after obtain credible evidence that lead member of the international terrorist network sponsor by saudi exile osama bin laden , who u.s. official believe be behind the bombing of two u.s. embassy in africa , would be gather thursday at a terrorist camp in afghanistan to plan further attack against the united states .
TRUE = 0 | PRED = 0 | UNK continue , `` UNK information be convincing , and UNK have a high confidence level that these bombing be plan and carry out by bin laden 's network .
TRUE = 1 | PRED = 1 | UNK be not surprising that indoor cycling _ or `` spin '' _ have catch on with UNK around the country .
TRUE = 0 | PRED = 0 | senior u.s. official say the fact that the united states have gather such compelling evidence link bin laden to the embassy bombing , couple with information concern the schedule terrorist conference , lead clinton to plan the strike for thursday .
TRUE = 1 | PRED = 1 | `` when UNK ask instructor why UNK be lean UNK body leave and right to try to simulate what a bicyclist do , UNK tell UNK , ` that be how UNK do UNK outside , ' '' say peter fair , studio cycling director at mid valley athletic club in reseda .
TRUE = 0 | PRED = 0 | the u.s. strike also come after u.s. intelligence and law enforcement agency have gather what official describe as the strong evidence ever obtain in a major terrorist case , prove that bin laden be behind the embassy bombing .
TRUE = 1 | PRED = 1 | UNK be into unnecessarily high cadence and improper movement on the stationary bike to emulate the motion of a bicyclist .
TRUE = 0 | PRED = 1 | and UNK have compelling evidence that bin laden and UNK organization be plan further attack .
TRUE = 1 | PRED = 1 | much of this be because while UNK be fit , many instructor be not cyclist .
TRUE = 1 | PRED = 1 | `` that be just not true .
TRUE = 0 | PRED = 1 | u.s. official say UNK wo n't be able to assess the damage do at the terrorist camp until friday .
TRUE = 0 | PRED = 0 | by target the meeting , the united states hop to badly damage the `` infrastructure '' of bin laden 's terrorist network .


FILE ID: 468952.p
TRUE = 1 | PRED = 0 | rowland say stayner , a 37-year - old janitor at the cedar lodge in el portal , on yosemite 's western edge , have give a detailed account of how UNK have kill carole sund , 42 , UNK daughter juli sund , 15 , and UNK friend silvina pelosso , 16 .
TRUE = 1 | PRED = 1 | UNK kill all three woman , cary stayner tell a television reporter on monday night .
TRUE = 0 | PRED = 1 | but no one be complain .
TRUE = 1 | PRED = 0 | UNK say UNK have dream of kill woman for 30 year before UNK find UNK moment this february , when a middle - aged woman and two teen - ager on a sightseeing trip to yosemite national park happen to take a room at the motel where UNK work as a janitor .
TRUE = 1 | PRED = 0 | in UNK , rowlands report that stayner say UNK plan to plead guilty to the armstrong kill when UNK be arraign in fresno on UNK 6 and that UNK also want to plead guilty to the other killing , with which UNK have not yet be charge .
TRUE = 1 | PRED = 1 | UNK disappearance from the cedar lodge on UNK 15 generate a vast investigation and national headline .
TRUE = 0 | PRED = 1 | much cool than in 1991 , mia hamm recall , when the u.s. team fly into new york after win the first woman 's world championship .
TRUE = 1 | PRED = 1 | then UNK lay low , escape suspicion of the fbi when UNK be interview later in february by UNK agent , who then focus on a group of ex - convict as suspect .
TRUE = 0 | PRED = 1 | `` UNK ' m so tired UNK ca n't even give UNK good quote right now , '' kate sobrero say .
TRUE = 1 | PRED = 0 | in a 25-minute jailhouse interview in sacramento only hour after UNK be charge in federal court there with the murder of ms. armstrong , stayner tell the reporter , ted rowlands of UNK - tv in san francisco , that UNK have fantasize since childhood about murder woman and have kill these four `` because UNK be at the wrong place at the wrong time . ''
TRUE = 0 | PRED = 1 | by 6 a.m. , the u.s. woman 's soccer team be leave UNK midtown hotel and step onto a charter bus .
TRUE = 0 | PRED = 1 | `` UNK ' m just so exhausted . ''
TRUE = 1 | PRED = 1 | the interview be conduct off - camera and report monday on the late news .
TRUE = 0 | PRED = 0 | UNK plane from anaheim , UNK , land at newark international airport at 4 a.m. monday , and UNK slip into new york city while UNK be doze .
TRUE = 0 | PRED = 1 | a blizzard of morning television show await the 1999 women 's world cup champion , news medium attention that UNK think be cool .
TRUE = 0 | PRED = 1 | most of the player have not have time to sleep .
TRUE = 1 | PRED = 1 | but last week , UNK say , UNK could no longer resist the temptation to kill again , and UNK decapitate a 26-year - old yosemite naturalist , joie ruth armstrong .


FILE ID: 169946.p
TRUE = 1 | PRED = 0 | UNK have to pitch a hasty commercial before the set fall down . ''
TRUE = 1 | PRED = 0 | `` one morning , UNK have a panther and UNK trainer on the show , '' UNK say .
TRUE = 0 | PRED = 1 | sen. alfonse d'amato say friday that house speaker newt gingrich have misread the voter ' mandate in the 1994 congressional election and have press policy and oratory that be now threaten bob dole 's presidential hope .
TRUE = 1 | PRED = 0 | `` UNK be stand in front of the set , which have a window where UNK would come up .
TRUE = 1 | PRED = 0 | UNK ' ve get to go out there and do UNK without the net . ''
TRUE = 1 | PRED = 0 | the panther see this darting figure and lunge immediately , break the glass and push the set back .
TRUE = 1 | PRED = 0 | vern pop up as UNK and begin to dart around as UNK be talk .
TRUE = 0 | PRED = 0 | `` newt gingrich be a smart guy , but UNK misread the 1994 election , '' d'amato continue .
TRUE = 1 | PRED = 0 | UNK do n't have any cue card .
TRUE = 0 | PRED = 1 | `` instead of move conservatively to reduce the scope of government , '' d'amato say , `` UNK move too quickly in too many area and create a sense of unease about who UNK be and what UNK believe in .
TRUE = 1 | PRED = 0 | if UNK do n't have spontaneity , UNK get boring .
TRUE = 0 | PRED = 1 | nonetheless , the remark by d'amato , who be chairman of dole 's national steering committee and one of UNK first supporter , reflect continue concern among some of dole 's senior adviser that gingrich 's political problem be shadow dole 's presidential campaign .
TRUE = 1 | PRED = 0 | `` UNK be create a situation and find out thing .
TRUE = 0 | PRED = 1 | on a second , if less immediate , political battlefront , d'amato 's criticism mark UNK late effort to distance UNK from the kind of conservative congressional politic that analyst say be contribute to d'amato 's problem at home as UNK prepare for a re - election campaign two year away .
TRUE = 1 | PRED = 0 | `` UNK like to think UNK ' m do that , '' UNK say .
TRUE = 0 | PRED = 1 | UNK say that as a result , UNK be concerned about the political future , not only for dole , who be the senate majority leader and presumptive republican presidential nominee , but also for house and senate candidate like UNK .
TRUE = 1 | PRED = 0 | hayne could have use a net at least once during the live telecast year .
TRUE = 0 | PRED = 1 | d'amato , a close adviser to dole , say that UNK be speak on UNK own initiative in attack the politically unpopular speaker and that UNK be not do the bidding of dole 's campaign .
TRUE = 0 | PRED = 0 | UNK unfortunately leave the impression , wrongly in UNK judgment , that UNK be exclusive and lacked compassion .


FILE ID: 544620.p
TRUE = 1 | PRED = 0 | much of `` angela 's ashes '' be shoot on location in ireland , and watson acknowledge that UNK often `` get a bit low '' during the filming .
TRUE = 1 | PRED = 0 | and why not ?
TRUE = 0 | PRED = 1 | that be what the dodgers will attempt to do today as UNK speak with various club , include the colorado rockies and chicago cubs .
TRUE = 0 | PRED = 0 | `` what UNK be look at be try to get UNK all do at once .
TRUE = 0 | PRED = 1 | instead , the dodgers be willing to make small deal in hope of trim payroll and add depth to the bench and bullpen .
TRUE = 0 | PRED = 0 | UNK think what UNK be go to have to focus on be begin the process , put UNK in position to get this accomplish on a step - by - step basis . ''
TRUE = 1 | PRED = 0 | at the moment , though , stride into a suite room at manhattan 's essex house to discuss UNK late celluloid UNK , alan parker 's adaptation of frank mccourt 's best - sell childhood memoir `` angela 's ashes , '' watson be ... grin from ear to ear .
TRUE = 0 | PRED = 1 | learn the painful lesson that team be n't willing to absorb a $ 15 million contract for a free - agency - bind pitcher and a marginal infielder , the los angeles dodgers alter UNK plan of attack .
TRUE = 1 | PRED = 0 | angela 's silent suffering make UNK all the easy to succumb .
TRUE = 0 | PRED = 1 | no longer will the dodgers mandate a club take either jose vizcaino or eric young in order to acquire right - hander ismael valdes , a source say .
TRUE = 1 | PRED = 0 | set in the grim , sodden slum of limerick , ireland , the just - release drama cast watson as angela mccourt , put - upon mother of frank ( play at different age by three young actor ) and UNK assorted sibling , and wife of malachy ( robert carlyle ) , a well - mean alcoholic who ca n't keep a job and eventually abandon the family .
TRUE = 1 | PRED = 0 | emily watson smile _ detail at 11 !
TRUE = 0 | PRED = 1 | `` UNK may have to do some deal that would lead to UNK do other deal , '' dodgers general manager kevin malone say .
TRUE = 0 | PRED = 1 | rockie general manager dan o'dowd be expect to make another heavy push to acquire valdes , who will be a free agent after the 2000 season and , be arbitration eligible , be expect to earn approximately $ 6 million this upcoming season .
TRUE = 1 | PRED = 0 | the two - time oscar nominee love `` angela 's ashes , '' and have fly in from the budapest set of UNK next movie specifically to talk about UNK .
TRUE = 1 | PRED = 0 | the british actress have portray serious , damaged character so often _ most notably in the danish film `` break the waves '' ( 1995 ) , the irish - trouble drama `` the boxer '' ( 1997 ) and the classical - music tragedy `` hilary and jackie '' ( 1998 ) _ that audience across the globe believe that dark cloud accompany UNK everywhere and that UNK break into tear on an hourly basis .


FILE ID: 405826.p
TRUE = 1 | PRED = 1 | lauder , whose mother found estee lauder cos . , create central european media in 1994 .
TRUE = 1 | PRED = 1 | UNK say UNK have not donate money to the democrats but have be invite to the event by bennett lebow , an american businessman whose interest include liggett group , the big cigarette manufacturer .
TRUE = 1 | PRED = 0 | UNK predict last year that the company would have annual revenue of $ 1 billion within five year , but UNK have run up steady loss to date .
TRUE = 0 | PRED = 0 | fischer share be rise 1/8 to close at 5 UNK 1/4 today .
TRUE = 0 | PRED = 0 | fischer imaging corp. get UNK second food and drug administration warning letter in two year for fail to have proper quality control in UNK denver plant .
TRUE = 0 | PRED = 0 | anthony UNK , the company 's vice president for sale and marketing , say fischer be in the process of respond to the fda .
TRUE = 0 | PRED = 0 | the company put together a team to address the issue raise in the letter and respond to the fda , UNK add .
TRUE = 0 | PRED = 0 | in may 1995 , the company receive a similar letter from the fda about quality control and resolve all the issue with the fda , UNK say .
TRUE = 1 | PRED = 1 | when the company seek to enter the ukraine market a year ago , fertig say , UNK executive be refer to rabinovich and UNK partner in studio 1 ( plus ) 1 by UNK volkov , an assistant and close adviser to kuchma .
TRUE = 1 | PRED = 0 | the company report last month that UNK lose $ 30 million in 1996 compare with loss of $ 18.7 million in 1995 and $ 20.5 million in 1994 .
TRUE = 1 | PRED = 1 | the photograph be take in late 1995 at a democratic fund - raise party in miami , rabinovich say .
TRUE = 1 | PRED = 1 | along with the recommendation from the presidential adviser , the company executive also be impressed by a photograph in rabinovich 's office that show UNK with president clinton and vice president al gore , accord to a person close to the company .
TRUE = 0 | PRED = 0 | in UNK march 19 letter , the fda cite the company for fail to put in place proper program for inspect , testing and assure the overall quality of UNK x - ray and mammography system .
TRUE = 0 | PRED = 0 | the fda also say the denver - base company sometimes fail to investigate why component do n't meet pre - set standard in manufacturing .
TRUE = 1 | PRED = 1 | western diplomat and businessman say volkov also own a piece of studio 1 ( plus ) 1 , but fertig say UNK be unaware of that investment .
TRUE = 0 | PRED = 1 | `` UNK be fairly normal in the x - ray business '' to receive such a letter , UNK say .


FILE ID: 193318.p
TRUE = 1 | PRED = 1 | most people pass through the UNK blockade _ a noisy , sweaty , garbage - strew , dust - choke maelstrom just north of jerusalem _ would say that amin 's idea of easy be , in fact , most difficult .
TRUE = 1 | PRED = 1 | `` easy '' have become a relative word , for UNK and for many ten of thousand of other palestinians who be trap in UNK town unless UNK can get past israeli roadblock that have divide the west bank and the gaza strip into virtual canton .
TRUE = 0 | PRED = 0 | `` but the challenge be that there be a lot of production expense and the operational expense in term of find the right mailing list , and so forth , '' UNK say .
TRUE = 0 | PRED = 1 | in the past , hoover say , UNK have experiment with other direct mailing effort .
TRUE = 0 | PRED = 1 | `` UNK be not a big fee . ''
TRUE = 1 | PRED = 1 | `` UNK never can tell , '' amin say .
TRUE = 0 | PRED = 0 | chuck hoover , the company 's vice president for marketing , say UNK have recently test direct - mail advertising by include insert in american express bill .
TRUE = 1 | PRED = 1 | this be where UNK find out if UNK will take forever for UNK to get to work in jerusalem , or just horribly long .
TRUE = 0 | PRED = 0 | `` UNK pay to produce the insert , and UNK be pay amex for the mile when someone buy a car , '' hoover say .
TRUE = 0 | PRED = 0 | and because UNK track the response rate with american express , hoover say , UNK company gather useful demographic and geographic information about the type of customer who respond to such offer through the mail .
TRUE = 0 | PRED = 0 | but some company , like UNK , have find way to reduce the cost of direct mail .
TRUE = 1 | PRED = 1 | a roll of the eye say UNK all .
TRUE = 1 | PRED = 1 | this be where the miserable part of dr. dima amin 's day kick in , on the stretch of broken road run past a palestinian refugee camp .
TRUE = 0 | PRED = 0 | from april to june , american express mail 4.1 million insert promote an offer of 10,000 frequent - flier mile for customer who buy car on UNK .
TRUE = 1 | PRED = 1 | `` UNK make UNK so stressed , '' UNK say , `` every single day . ''
TRUE = 1 | PRED = 1 | `` sometimes UNK be easy , other time ... '' UNK do not finish the sentence .
TRUE = 1 | PRED = 1 | UNK do not have to .
TRUE = 0 | PRED = 0 | hoover do not disclose how much the mailing cost , but UNK indicate that UNK be much less than conventional mailing , because american express essentially pay the postage .


